"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"updated netlogo abm_herding_model.nlogo.nlogox"
"02-SentimentShock"
"07/17/2026 21:26:54:666 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","scenario","herding-strength","vision-radius","[step]","price","current-return","volatility","herding-index","buyers-count","sellers-count"
"1","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"5","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"5","sentiment-shock","0.6","8","1","96.5","-0.035","0.035","0.8888888888888888","10","80"
"1","sentiment-shock","0.6","8","1","101.7","0.01700000000000003","0.01700000000000003","0.6888888888888889","62","28"
"5","sentiment-shock","0.6","8","2","94.3","-0.022797927461139927","0.022797927461139927","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","2","103.10000000000001","0.013765978367748335","0.013765978367748335","0.6555555555555556","59","31"
"5","sentiment-shock","0.6","8","3","92.1","-0.02332979851537649","0.02332979851537649","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","3","104.80000000000001","0.01648884578079537","0.01648884578079537","0.6888888888888889","62","28"
"5","sentiment-shock","0.6","8","4","89.89999999999999","-0.023887079261672127","0.023887079261672127","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","4","106.60000000000001","0.01717557251908394","0.01717557251908394","0.7","63","27"
"2","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"6","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"3","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"1","sentiment-shock","0.6","8","5","108.50000000000001","0.01782363977485934","0.01782363977485934","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","0","100","0","0","0","0","0"
"5","sentiment-shock","0.6","8","5","87.69999999999999","-0.024471635150166884","0.024471635150166884","0.7444444444444445","23","67"
"5","sentiment-shock","0.6","8","6","85.49999999999999","-0.025085518814139146","0.025085518814139146","0.7444444444444445","23","67"
"2","sentiment-shock","0.6","8","1","103.6","0.03599999999999994","0.03599999999999994","0.9","81","9"
"3","sentiment-shock","0.6","8","1","102.6","0.025999999999999943","0.025999999999999943","0.7888888888888889","71","19"
"1","sentiment-shock","0.6","8","6","110.40000000000002","0.01751152073732724","0.01751152073732724","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","1","100.7","0.007000000000000029","0.007000000000000029","0.5777777777777777","52","38"
"3","sentiment-shock","0.6","8","2","103.69999999999999","0.010721247563352772","0.010721247563352772","0.6222222222222222","56","34"
"4","sentiment-shock","0.6","8","1","98","-0.02","0.02","0.7222222222222222","25","65"
"2","sentiment-shock","0.6","8","2","105.89999999999999","0.022200772200772174","0.022200772200772174","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","7","83.29999999999998","-0.02573099415204682","0.02573099415204682","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","7","112.30000000000003","0.01721014492753628","0.01721014492753628","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","2","102","0.012909632571996","0.012909632571996","0.6444444444444445","58","32"
"3","sentiment-shock","0.6","8","3","102.99999999999999","-0.006750241080038601","0.006750241080038601","0.5777777777777777","38","52"
"1","sentiment-shock","0.6","8","8","114.20000000000003","0.01691896705253789","0.01691896705253789","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","3","104","0.0196078431372549","0.0196078431372549","0.7222222222222222","65","25"
"3","sentiment-shock","0.6","8","4","98.79999999999998","-0.04077669902912625","0.04077669902912625","0.9666666666666667","3","87"
"5","sentiment-shock","0.6","8","8","81.09999999999998","-0.026410564225690315","0.026410564225690315","0.7444444444444445","23","67"
"1","sentiment-shock","0.6","8","9","116.10000000000004","0.01663747810858148","0.01663747810858148","0.7111111111111111","64","26"
"4","sentiment-shock","0.6","8","2","97","-0.01020408163265306","0.01020408163265306","0.6111111111111112","35","55"
"6","sentiment-shock","0.6","8","4","106.2","0.021153846153846183","0.021153846153846183","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","5","97.49999999999999","-0.013157894736842079","0.013157894736842079","0.6444444444444445","32","58"
"2","sentiment-shock","0.6","8","3","108.19999999999999","0.02171860245514634","0.02171860245514634","0.7555555555555555","68","22"
"4","sentiment-shock","0.6","8","3","96.2","-0.008247422680412342","0.008247422680412342","0.5888888888888889","37","53"
"5","sentiment-shock","0.6","8","9","78.99999999999999","-0.025893958076448766","0.025893958076448766","0.7333333333333333","24","66"
"6","sentiment-shock","0.6","8","5","108.4","0.020715630885122436","0.020715630885122436","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","6","96.39999999999999","-0.011282051282051226","0.011282051282051226","0.6222222222222222","34","56"
"2","sentiment-shock","0.6","8","4","110.49999999999999","0.021256931608133064","0.021256931608133064","0.7555555555555555","68","22"
"6","sentiment-shock","0.6","8","6","110.60000000000001","0.020295202952029544","0.020295202952029544","0.7444444444444445","67","23"
"3","sentiment-shock","0.6","8","7","95.19999999999999","-0.012448132780083018","0.012448132780083018","0.6333333333333333","33","57"
"4","sentiment-shock","0.6","8","4","96.10000000000001","-0.0010395010395009804","0.0010395010395009804","0.5111111111111111","44","46"
"6","sentiment-shock","0.6","8","7","112.80000000000001","0.019891500904159157","0.019891500904159157","0.7444444444444445","67","23"
"4","sentiment-shock","0.6","8","5","100.2","0.0426638917793964","0.0426638917793964","0.9555555555555556","86","4"
"3","sentiment-shock","0.6","8","8","94.1","-0.011554621848739437","0.011554621848739437","0.6222222222222222","34","56"
"2","sentiment-shock","0.6","8","5","112.79999999999998","0.020814479638009028","0.020814479638009028","0.7555555555555555","68","22"
"5","sentiment-shock","0.6","8","10","77.09999999999998","-0.02405063291139248","0.02405063291139248","0.7111111111111111","26","64"
"1","sentiment-shock","0.6","8","10","118.00000000000004","0.016365202411714082","0.016365202411714082","0.7111111111111111","64","26"
"6","sentiment-shock","0.6","8","8","115.00000000000001","0.019503546099290805","0.019503546099290805","0.7444444444444445","67","23"
"4","sentiment-shock","0.6","8","6","104.7","0.04491017964071856","0.04491017964071856","1","90","0"
